".InternetGatewayDevice.","IGD",,,"object","-","R","V",,"The top-level object for an Internet Gateway Device."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPOption.{i}.",,,,"object","O","O",,,"This object specifies the DHCP options that MUST, if enabled, be returned to clients whose DHCP requests do not match any of the DHCP conditional serving pool entries. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPOption.{i}.Enable",,,,"boolean","O","O",,,"Enables or disables this DHCPOption table entry."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPOption.{i}.Tag",,,,"unsignedInt [1:254]","O","O",,,"Option tag as defined in RFC 2132 [28]."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPOption.{i}.Value",,,,"base64(340)","O","O",,,"Base64 encoded option value."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPoolNumberOfEntries",,"count(DHCPConditionalServingPool)",,"unsignedInt","-","R",,,
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.","DHCPcsPool",,,,"O","O",,,
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.",,1,1,"object","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.Enable",,,,"boolean","O","O",,,"Enables or disables the DHCPConditionalServ- ingPool entry. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.PoolOrder",,0,1,"unsignedInt[1:]","O","O"," u",,"Position of the pool entry in the order of precedence. A value of 1 indicates the first entry considered. For each DHCP request, the highest ordered entry that matches the association criteria is applied. All lower order entries are ignored. When this value is modified, if the value matches that of an existing entry, the Order value for the existing entry and all lower Order entries is incremented (lowered in precedence) to ensure uniqueness of this value. A deletion causes Order values to be compacted. When a value is changed, incrementing occurs before compaction. The value on creation of a DHCPConditionalServ- ingPool table entry MUST be one greater than the largest current value. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.SourceInterface",,,,"string(1024)","O","O",,,"Pool association criterion. Specifies the layer 2 ingress interfaces associated with this entry. The content is a comma-separated list of the full hierarchical parameter names of the corresponding LAN**InterfaceConfig or WLANCon- figuration objects. For example: ""InternetGatewayDevice.LANDevice.1.LAN- EthernetInterfaceConfig.2,InternetGatewayDevice.- LANDevice.1.WLANConfiguration.3"" An empty value indicates this entry is to apply to all layer 2 interface objects under this LANDevice instance. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.VendorClassID",,,,"binary(255)","O","O",,,"Pool association criterion. Used to identify one or more LAN devices, value of the DHCP Vendor Class Identifier (Option 60) as defined in RFC 2132 [28], matched according to the criterion in VendorClassIDMode. Case sensitive. An empty value indicates this criterion is not used for conditional serving. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.VendorClassIDExclude",,,,"boolean","O","O",,,"If False, matching packets are those that match the VendorClassID entry, if specified. If True, matching packets are those that do not match the VendorClassID entry, if specified. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.VendorClassIDMode",,,,"enum(Exact,Prefix,Suffix,Substring)","O","O",,,"VendorClassID pattern match criterion. Enumeration of:       ""Exact""       ""Prefix""       ""Suffix""       ""Substring"" For example, if VendorClassID is ""Example"" then an Option 60 value of ""Example device"" will match with VendorClassID values of ""Prefix"" or ""Substring"", but not with ""Exact"" or ""Suffix"". "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.ClientID",,,,"binary(255)","O","O",,,"Pool association criterion. Used to identify one or more LAN devices, value of the DHCP Client Identifier (Option 61) as defined in RFC 2132 [28]. The option value is binary, so an exact match is REQUIRED. An empty value indicates this criterion is not used for conditional serving. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.ClientIDExclude",,,,"boolean","O","O",,,"If False, matching packets are those that match the ClientID entry, if specified. If True, matching packets are those that do not match the ClientID entry, if specified. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.UserClassID",,,,"binary(255)","O","O",,,"Pool association criterion. Used to identify one or more LAN devices, value of the DHCP User Class Identifier (Option 77) as defined in RFC 3004 [39]. An empty value indicates this criterion is not used for conditional serving. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.UserClassIDExclude",,,,"boolean","O","O",,,"If False, matching packets are those that match the UserClassID entry, if specified. If True, matching packets are those that do not match the UserClassID entry, if specified. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.Chaddr",,,,"string","O","O",,,"Pool association criterion. Hardware address (MAC address.) of the physical interface of the DHCP client. An empty value indicates this criterion is not used for conditional serving. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.ChaddrMask",,,,"string","O","O",,,"Bit-mask for the MAC address, where matching of a packet's MAC address with the Chaddr is only to be done for bit positions set to one in the mask. A mask of FF:FF:FF:FF:FF:FF or an empty string indicates all bits of the Chaddr are to be used for conditional serving classification. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.ChaddrExclude",,,,"boolean","O","O",,,"If False, matching packets are those that match the (masked) Chaddr entry, if specified. If True, matching packets are those that do not match the (masked) Chaddr entry, if specified. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.LocallyServed",,,,"boolean","O","O",,,"If True, then the local DHCP server will assign an IP address from the specific address pool specified in this object. If False, the DHCP server will send the request to the DHCPServerIPAddress configured for this pool. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.X_DM_PoolInfo",,,,"pointer","O","O","i",,
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.MinAddress",,,,"ipv4","O","O",,,"Specifies first address in the pool to be assigned by the DHCP server on the LAN interface. This parameter is configurable only if UseAllocated WAN is Normal. This parameter MUST have a valid value before this pool can be enabled. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.MaxAddress",,,,"ipv4","O","O",,,"Specifies last address in the pool to be assigned by the DHCP server on the LAN interface. This parameter is configurable only if UseAllocated WAN is Normal. This parameter MUST have a valid value before this pool can be enabled. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.ReservedAddresses",,,,"string(512)","O","O",,,"Comma-separated list of IP addresses marked reserved from the address allocation pool. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.SubnetMask",,,,"ipv4","O","O",,,"Specifies the client's network subnet mask. This parameter is configurable only if UseAllocated WAN is Normal. This parameter MUST have a valid value before this pool can be enabled. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DNSServers",,,,"string(64)","O","O",,,"Comma-separated list of DNS servers offered to DHCP clients. Support for more than three DNS Servers is OPTIONAL. This parameter is configurable only if UseAllocated WAN is Normal. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DomainName",,,,"string(64)","O","O",,,"Sets the domain name to provide to clients on the LAN interface. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.IPRouters",,,,"string(64)","O","O",,,"Comma-separated list of IP addresses of routers on this subnet. Also known as default gateway. Support for more than one Router address is OPTIONAL. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DHCPLeaseTime",,,,"int[-1:]","O","O",,,"Specifies the lease time in seconds of client assigned addresses. A value of -1 indicates an infinite lease. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.UseAllocatedWAN",,,,"enum(Normal,Passthrough)","O","O",,,"Controls whether the MinAddress, MaxAddress, SubnetMask and DNSServers parameters are configurable or are taken from the associated WAN connection. Enumeration of:      ""Normal""      ""Passthrough"" If Normal, the above-mentioned pool parameters are directly configured by the ACS. If Passthrough, the above-mentioned pool para- meters cannot be configured by the ACS. Their values are instead taken from the WAN connection specified by AssociatedConnection. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.AssociatedConnection",,,,"selector","O","O",,,"Specifies the connection instance to be used for address allocation if UseAllocatedWAN is set to Passthrough. The content is the full hierarchical parameter name of a WAN-side layer 3 connection object. Example: ""InternetGatewayDevice.WANDevice.1.- WANConnectionDevice.2.WANPPPConnection.1"". If UseAllocatedWAN is Passthrough, this paramet- er MUST have a valid value before this pool can be enabled. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DHCPServerIPAddress",,,,"ipv4","O","O",,,"IP address of the DHCP server, where the request has to be sent to when there is a conditional match with this pool and LocallyServed is False. If this parameter is not configured, then the DHCP request is dropped. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.X_TPLINO_DHCPConditionalServingPoolId",,,,"string(32)","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DHCPStaticAddressNumberOfEntries",,"count(DHCPStaticAddress)",,"unsignedInt","-","R",,,"The number of entries in the DHCPStaticAddress table."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DHCPStaticAddress.","DHCPStatic",,,,"O","O",,,
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DHCPStaticAddress.{i}.",,,,"object","O","O",,,"DHCP static address table. Entries in this table correspond to what RFC 2131 [27] calls ""manual allocation"", where a client's IP address is assigned by the network administrator, and DHCP is used simply to convey the assigned address to the client. Each instance of this object specifies a hardware address (MAC address) and an IP address within the pool. When serving from this pool, this IP address MUST, if available, be assigned to the DHCP client with this hardware address, and MUST NOT be assigned to any other client. Note that it is possible that an IP address in this table is present in the main pool and/or one or more of the other conditional serving pools, in which case it is possible that such an address will be assigned to a different client. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DHCPStaticAddress.{i}.Enable",,,,"boolean","O","O",,,"Enables or disables the DHCPStaticAddress table entry. Disabling an entry does not return the IP address to the pool. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DHCPStaticAddress.{i}.Chaddr",,,,"string","O","O",,,"Hardware address (MAC address) of the physical interface of the DHCP client. This parameter MUST have a valid value before the table entry can be enabled. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DHCPStaticAddress.{i}.Yiaddr",,,,"ipv4","O","O",,,"IP address to be assigned by the DHCP server to the DHCP client with the specified hardware address (MAC address). This parameter MUST have a valid value before the table entry can be enabled. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DHCPOptionNumberOfEntries",,"count(DHCPOption)",,"unsignedInt","O","O",,,"The number of entries in the DHCPOption table."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DHCPOption.",,,,,"O","O",,,
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DHCPOption.{i}.",,,,"object","O","O",,,"This object specifies the DHCP options that MUST, if enabled, be returned to clients whose DHCP requests are associated with this pool. "
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DHCPOption.{i}.Enable",,,,"boolean","O","O",,,"Enables or disables this DHCPOption table entry."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DHCPOption.{i}.Tag",,,,"unsignedInt [1:254]","O","O",,,"Option tag as defined in RFC 2132 [28]."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPConditionalServingPool.{i}.DHCPOption.{i}.Value",,,,"base64(340)","O","O",,,"Base64 encoded option value."
".InternetGatewayDevice.LANDevice.{i}.LANEthernetInterfaceConfig.","EthCfg",,,,,,,,
".InternetGatewayDevice.LANDevice.{i}.LANEthernetInterfaceConfig.{i}.",,,,"object","-","C",,,"This object models an Ethernet LAN connection on a CPE device.  This object must be implemented for CPE that contain an Ethernet interface on the LAN side."
".InternetGatewayDevice.LANDevice.{i}.LANEthernetInterfaceConfig.{i}.Enable",,,,"boolean","C","C",,,"Enables or disables this interface."
".InternetGatewayDevice.LANDevice.{i}.LANEthernetInterfaceConfig.{i}.Status",,,,"enum(Up,NoLink,Error,Disabled)","-","C","S",,"Indicates the status of this interface.  Enumeration of:
""Up""
""NoLink""
""Error""
""Disabled"""
".InternetGatewayDevice.LANDevice.{i}.LANEthernetInterfaceConfig.{i}.MACAddress",,,,"string","-","C","S",,"The physical address of the interface."
".InternetGatewayDevice.LANDevice.{i}.LANEthernetInterfaceConfig.{i}.MACAddressControlEnabled",,,,"boolean","C","C",,,"Indicates whether MAC Address Control is enabled or not on this interface.  MAC Address Control limits the clients that connect to those that match a list of allowed MAC addresses specified in InternetﾭGatewayﾭDevice.ﾭLANﾭDevice.ﾭ{i}.ﾭLANﾭHostﾭConfigﾭManagement.ﾭAllowedﾭMACﾭAddresses."
".InternetGatewayDevice.LANDevice.{i}.LANEthernetInterfaceConfig.{i}.MaxBitRate",,,,"enum(10,100,1000,Auto)","C","C",,,"The maximum upstream and downstream bit rate available to this connection.  Enumeration of:
""10""
""100""
""1000""
""Auto"""
".InternetGatewayDevice.LANDevice.{i}.LANEthernetInterfaceConfig.{i}.DuplexMode",,,,"enum(Half,Full,Auto)","C","C",,,"The duplex mode available to this connection.  Enumeration of:
""Half""
""Full""
""Auto"""
".InternetGatewayDevice.LANDevice.{i}.LANEthernetInterfaceConfig.{i}.Stats.","Stats",,,"object","-","C","S",,"This object contains statistics for an Ethernet LAN interface on a CPE device."
".InternetGatewayDevice.LANDevice.{i}.LANEthernetInterfaceConfig.{i}.Stats.BytesSent",,1,0,"unsignedInt","-","C","S N",,"Total number of bytes sent over the interface since the CPE was last reset."
".InternetGatewayDevice.LANDevice.{i}.LANEthernetInterfaceConfig.{i}.Stats.BytesReceived",,1,0,"unsignedInt","-","C","S N",,"Total number of bytes received over the interface since the CPE was last reset."
".InternetGatewayDevice.LANDevice.{i}.LANEthernetInterfaceConfig.{i}.Stats.PacketsSent",,1,0,"unsignedInt","-","C","S N",,"Total number of packets sent over the interface since the CPE was last reset."
".InternetGatewayDevice.LANDevice.{i}.LANEthernetInterfaceConfig.{i}.Stats.PacketsReceived",,1,0,"unsignedInt","-","C","S N",,"Total number of packets received over the interface since the CPE was last reset."
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.","LANUSBCfg",,,,,,,,
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.{i}.",,,,"object","-","C",,,"This object models a USB LAN connection on a CPE device.  This object must be implemented for CPE that contain a USB interface on the LAN side."
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.{i}.Enable",,,,"boolean","C","C",,,"Enables or disables this interface."
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.{i}.Status",,,,"enum(Up,NoLink,Error,Disabled)","-","C","S",,"Indicates the status of this interface.  Enumeration of:
""Up""
""NoLink""
""Error""
""Disabled"""
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.{i}.MACAddress",,,,"string","-","C","S",,"The physical address of the interface."
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.{i}.MACAddressControlEnabled",,,,"boolean","C","C",,,"Indicates whether MAC Address Control is enabled or not on this interface.  MAC Address Control limits the clients that connect to those that match a list of allowed MAC addresses specified in InternetﾭGatewayﾭDevice.ﾭLANﾭDevice.ﾭ{i}.ﾭLANﾭHostﾭConfigﾭManagement.ﾭAllowedﾭMACﾭAddresses."
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.{i}.Standard",,,,"string(6)","-","C","S",,"USB version supported by the device."
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.{i}.Type",,,,"enum(Host,Hub,Device)","-","C","S",,"Type of the USB interface.  Enumeration of:
""Host""
""Hub""
""Device"""
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.{i}.Rate",,,,"enum(Low,Full,High)","-","C","S",,"Speed of the USB interface.  Enumeration of:
""Low""
""Full""
""High"" (USB 2.0)"
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.{i}.Power",,,,"enum(Self,Bus,Unknown)","-","C","S",,"Power configuration of the USB interface.  Enumeration of:
""Self""
""Bus""
""Unknown"""
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.{i}.Stats.","Stats",,,"object","-","C","S",,"This object contains statistics for a USB LAN interface on a CPE device."
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.{i}.Stats.BytesSent",,,,"unsignedInt","-","C","S N",,"Total number of bytes sent over the interface since the CPE was last reset."
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.{i}.Stats.BytesReceived",,,,"unsignedInt","-","C","S N",,"Total number of bytes received over the interface since the CPE was last reset."
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.{i}.Stats.CellsSent",,,,"unsignedInt","-","C","S N",,"Total number of cells sent over the interface since the CPE was last reset."
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceConfig.{i}.Stats.CellsReceived",,,,"unsignedInt","-","C","S N",,"Total number of cells received over the interface since the CPE was last reset."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.","WLANCfg",,,,,,,,
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.",,,,"object","-","C",,,"This object models an 802.11 LAN connection on a CPE device.  This object must be implemented for CPE that contain an 802.11 interface on the LAN side."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.Enable",,,,"boolean","C","C",,,"Enables or disables this interface."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.X_TPOSS_VAPId",,,,"string(32)","O","O"
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.Status",,,,"enum(Up,Error,Disabled)","-","C","S",,"Indicates the status of this interface.  Enumeration of:
""Up""
""Error""
""Disabled"""
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.BSSID",,,,"string","-","C","S",,"The MAC address of the interface."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.MaxBitRate",,,,"string(4)","C","C",,,"The maximum upstream and downstream bit rate available to this connection in Mbps.  Either ""Auto"", or the largest of the OperationalDataTransmitRates values."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.Channel",,,,"unsignedInt [0:255]","C","C",,,"The current radio channel used by the connection.  Note: There is currently no way of requesting automatic selection of a channel."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.SSID",,,,"string(32)","C","C",,,"The current service set identifier in use by the connection.  The SSID is an identifier that is attached to packets sent over the wireless LAN that functions as a ""password"" for joining a particular radio network (BSS).  Note: If an access point wishes to be known by more than one SSID, it must provide a WLANConfiguration instance for each SSID."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.BeaconType",,,,"enum(None,Basic,WPA,11i,BasicandWPA,Basicand11i,WPAand11i,BasicandWPAand11i)","C","C",,,"The breacon types to be use with this connection.  Enumeration of:
""None""
""Basic""
""WPA""
""11i"" (Optional)
""BasicandWPA"" (Optional)
""Basicand11i' (Optional)
""WPAand11i"" (Optional)
""BasicandWPAand11i"" (Optional)"
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.MACAddressControlEnabled",,,,"bool","C","C",,,"Indicates whether MAC Address Control is enabled or not on this interface.  MAC Address Control limits the clients that connect to those that match a list of allowed MAC addresses specified in InternetﾭGatewayﾭDevice.ﾭLANﾭDevice.ﾭ{i}.ﾭLANﾭHostﾭConfigﾭManagement.ﾭAllowedﾭMACﾭAddresses."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.Standard",,,,"enum(a,b,g)","C","C",,,"Indicates which IEEE 802.11 mode the device is currently operating in.  Enumeration of:
""a""
""b""
""g"""
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.WEPKeyIndex",,,,"unsignedInt [1:4]","C","C",,,"The index of the default WEP key."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.KeyPassphrase",,,,"string(63)","C","-",,,"A passphrase from which the WEP keys were generated.  This parameter for information only-the CPE is not responsible for generating the key based on the passphrase.
This parameter is the same as the parameter InternetﾭGatewayﾭDevice.ﾭLANﾭDevice.ﾭ{i}.ﾭWLANﾭConfiguration.ﾭ{i}.ﾭPreSharedKey.ﾭ1.ﾭKeyﾭPassprhase for the same instance of WLANConfiguration.  When either parameter is changed, the value of the other is changed as well.
This must either be a valid key length divided by 8, in which case each byte contributes 8 bits to the key, or else must consist of Hex digits and be a valid key length divided by 4, in which case each byte contributes 4 bits to the key.
Note: If a passphrase is used, all four WEP keys will be the same.
When read, this parameter returns an empty string, regardless of the actual value."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.WEPEncryptionLevel",,,,"enum(Disabled,40-bit,104-bit)","-","C","S",,"Comma-separated list of the supported key lengths.  Each entry in the list is an enumeration of:
""Disabled""
""40-bit""
""104-bit""
Any additional vendor-specific values must start with the key length in bits."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.BasicEncryptionModes",,,,"enum(None,WEPEncryption)","C","C",,,"Encryption modes that are available when basic 802.11 is enabled. ""WEPEncryption"" implies that all wireless clients can use WEP for data encryption.  Enumeration of:
""None""
""WEPEncryption"""
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.BasicAuthenticationMode",,,,"enum(None,EAPAuthentication)","C","C",,,"Authentication modes that are available when basic 802.11 is enabled.  Enumeration of:
""None""
""EAPAuthentication"" (Optional)"
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.WPAEncryptionModes",,,,"enum(WEPEncryption,TKIPEncryption,WEPandTKIPEncryption,AESEncryption,WEPandAESEncryption,TKIPandAESEncryption,WEPandTKIPandAESEncryption)","C","C",,,"Encryption modes that are available when WPA is enabled.  Enumeration of:
""WEPEncryption""
""TKIPEncryption""
""WEPandTKIPEncryption""
""AESEncryption"" (Optional)
""WEPandAESEncryption"" (Optional)
""TKIPandAESEncryption"" (Optional)
""WEPandTKIPandAESEncryption""  (Optional)"
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.WPAAuthenticationMode",,,,"enum(PSKAuthentication,EAPAuthentication)","C","C",,,"Authentication modes that are available when WPA is enabled.  Enumeration of:
""PSKAuthentication""
""EAPAuthentication"" (Optional)"
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.IEEE11iEncryptionModes",,,,"enum(WEPEncryption,TKIPEncryption,WEPandTKIPEncryption,AESEncryption,WEPandAESEncryption,TKIPandAESEncryption,WEPandTKIPandAESEncryption)","O","O",,,"Encryption modes that are available when 802.11i is enabled.  Enumeration of:
""WEPEncryption""
""TKIPEncryption""
""WEPandTKIPEncryption""
""AESEncryption"" (Optional)
""WEPandAESEncryption"" (Optional)
""TKIPandAESEncryption"" (Optional)
""WEPandTKIPandAESEncryption"" (Optional)"
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.IEEE11iAuthenticationMode",,,,"enum(PSKAuthentication,EAPAuthentication,EAPandPSKAuthentication)","O","O",,,"Authentication modes that are available when 802.11i is enabled.  Enumeration of:
""PSKAuthentication""
""EAPAuthentication"" (Optional)
""EAPandPSKAuthentication"" (Optional)"
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.PossibleChannels",,,,"string (1024)","-","C","S",,"The possible radio channels for the wireless standard (a, b or g) and the regulatory domain. 
Comma-separated list.  Ranges in the form ""n-m"" are permitted.
For example, for 802.11b and North America, would be ""1-11""."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.BasicDataTransmitRates",,,,"string(256)","C","C",,,"Comma-separated list of the maximum access point data transmit rates in Mbps for unicast, multicast and broadcast frames.
For example, a value of ""1,2"", indicates that unicast, multicast and broadcast frames can be transmitted at 1 Mbps and 2 Mbps."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.OperationalDataTransmitRates",,,,"string(256)","C","C",,,"Comma-separated list of the maximum access point data transmit rates in Mbps for unicast frames (a superset of BasicﾭDataﾭTransmitﾭRates).
Given the value of BasicﾭDataﾭTransmitﾭRates from the example above, OperationalﾭDataﾭTransmitﾭRates might be ""1,2,5.5,11"", indicating that unicast frames can additionally be transmitted at 5.5 Mbps and 11 Mbps."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.PossibleDataTransmitRates",,,,"string(256)","-","C",,,"Comma-separated list of the data transmit rates for unicast frames at which the access point will permit a station to connect (a subset of OperationalﾭDataﾭTransmitﾭRates).
Given the values of BasicﾭDataﾭTransmitﾭRates and OperationalﾭDataﾭTransmitﾭRates from the examples above, PossibleﾭDataﾭTransmitﾭRates might be ""1,2,5.5"", indicating that the AP will only permit connections at 1 Mbps, 2 Mbps and 5.5 Mbps, even though it could theoretically accept connections at 11 Mbps."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.InsecureOOBAccessEnabled",,,,"boolean","O","O",,,"Indicates whether insecure write access via mechanisms other than the CPE WAN Management Protocol is permitted to the parameters in this object."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.BeaconAdvertisementEnabled",,,,"boolean","O","O",,,"Indicates whether or not the access point is sending out beacons."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.RadioEnabled",,,,"boolean","C","C",,,"Indicates whether or not the access point radio is enabled."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.AutoRateFallBackEnabled",,,,"boolean","C","C",,,"Indicates whether the access point can automatically reduce the data rate in the event of undue noise or contention."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.LocationDescription",,,,"string (4096)","C","C",,,"An XML description of information used to identify the access point by name and physical location.  The CPE is not expected to parse this string, but simply to treat it as an opaque string.  An empty string indicates no location has been set."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.RegulatoryDomain",,,,"string(3)","O","O",,,"802.11d Regulatory Domain String.  First two octets are ISO/IEC 3166-1 two-character country code.  The third octet is either "" "" (all environments), ""O"" (outside) or ""I"" (inside)."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.TotalPSKFailures",,,,"unsignedInt","-","O","S N",,"The number of times pre-shared key (PSK) authentication has failed (relevant only to WPA and 802.11i)."
".InternetGatewayDevice.LANDevice.{i}.WLANConfiguration.{i}.TotalIntegrityFailures",,,,"unsignedInt","-","O","S N",,"The number of times the MICHAEL integrity check has failed (relevant only to WPA and 802.11i)"
